Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
       0219+428 191159 53698.80000  8000.0   0.0000    1.1540    0.0680
       0219+428 172652 53720.72700  8000.0   0.0000    1.2050    0.0710
       0219+428 215316 53721.91200  8000.0   0.0000    1.0670    0.0750
       0219+428 151423 53722.63500  8000.0   0.0000    1.0800    0.1220
       0219+428 133628 53740.56700  8000.0   0.0000    1.2800    0.0300
       0219+428 133628 53741.56700  8000.0   0.0000    1.3230    0.0390
       0219+428 145121 53741.61900  8000.0   0.0000    1.3740    0.0340
       0219+428 133628 53742.56700  8000.0   0.0000    1.4180    0.0380
       0219+428 145414 53742.62100  8000.0   0.0000    1.2900    0.0320
       0219+428 172526 53742.72600  8000.0   0.0000    1.1990    0.0770
       0219+428 133502 53744.56600  8000.0   0.0000    1.4570    0.0660
       0219+428 161159 53765.67500  8000.0   0.0000    1.3680    0.1270
       0219+428 150000 53771.62500  8000.0   0.0000    1.3090    0.1110
       0219+428 123433 53804.52400  8000.0   0.0000    1.2430    0.1400
       0219+428 124731 53804.53300  8000.0   0.0000    1.1980    0.0900
       0219+428 150419 53830.62800  8000.0   0.0000    1.5060    0.1270
       0219+428 021648 53956.09500  8000.0   0.0000    1.2730    0.1930
       0219+428 004145 53974.02900  8000.0   0.0000    1.1420    0.1460
       0219+428 221326 54010.92600  8000.0   0.0000    1.2150    0.1520
       0219+428 201814 54022.84600  8000.0   0.0000    1.1600    0.1790
       0219+428 194633 54037.82400  8000.0   0.0000    1.4680    0.3300
       0219+428 173823 54058.73500  8000.0   0.0000    1.1860    0.2090
       0219+428 172526 54080.72600  8000.0   0.0000    1.2570    0.1960
       0219+428 153726 54098.65100  8000.0   0.0000    1.1450    0.2910
       0219+428 141521 54121.59400  8000.0   0.0000    1.1410    0.1640
       0219+428 153726 54198.65100  8000.0   0.0000    1.2330    0.0790
       0219+428 155736 54219.66500  8000.0   0.0000    1.1170    0.0620
       0219+428 155736 54219.66500  8000.0   0.0000    1.1170    0.0620
       0219+428 095902 54275.41600  8000.0   0.0000    1.2800    0.0610
       0219+428 093559 54289.40000  8000.0   0.0000    1.4680    0.1010
       0219+428 111228 54295.46700  8000.0   0.0000    1.3530    0.1320
       0219+428 003307 54325.02300  8000.0   0.0000    1.2550    0.1840
       0219+428 053823 54373.23500  8000.0   0.0000    1.3000    0.0610
       0219+428 170809 54421.71400  8000.0   0.0000    1.1190    0.1760
       0219+428 155736 54435.66500  8000.0   0.0000    1.1120    0.1750
       0219+428 113823 54513.48500  8000.0   0.0000    1.5330    0.1390
       0219+428 140223 54576.58500  8000.0   0.0000    1.3470    0.0730
       0219+428 122848 54605.52000  8000.0   0.0000    1.3410    0.1530
       0219+428 093559 54640.40000  8000.0   0.0000    1.2450    0.0720
       0219+428 081814 54652.34600  8000.0   0.0000    1.2240    0.0980
       0219+428 073335 54667.31500  8000.0   0.0000    1.3340    0.1160
       0219+428 062428 54688.26700  8000.0   0.0000    1.2070    0.0780
       0219+428 044214 54723.19600  8000.0   0.0000    1.2050    0.1530
       0219+428 001004 54778.00700  8000.0   0.0000    1.2430    0.1400
       0219+428 101452 55003.42700  8000.0   0.0000    1.0260    0.1190
       0219+428 093140 55035.39700  8000.0   0.0000    1.0710    0.0760
       0219+428 054243 55064.23800  8000.0   0.0000    0.9060    0.0650
       0219+428 061716 55077.26200  8000.0   0.0000    1.1460    0.1200
       0219+428 035736 55101.16500  8000.0   0.0000    1.0450    0.0670
       0219+428 031550 55123.13600  8000.0   0.0000    0.8640    0.0910
       0219+428 201940 55207.84700  8000.0   0.0000    1.0310    0.0700
       0235+164 173531 53376.73300 22000.0   0.0000    1.6150    0.1060
       0235+164 183140 53376.77200 22000.0   0.0000    1.7060    0.1140
       0235+164 173531 53377.73300 22000.0   0.0000    1.6460    0.1070
       0235+164 183140 53377.77200 22000.0   0.0000    1.6270    0.1100
