Data retrieved from old Bach lists
Notice: 
    - exact frequencies are unknown, generic band indicators are used
    - elevations are unknown, a dummy value is used
 
 
        Name    HHMMSS       # MJD    Freq     Elev      Flux    e_Flux  
                                       MHz      deg        Jy        Jy
       1334-127 053657 55167.23400 43000.0   0.0000    4.6130    0.8720
       1334-127 053657 55168.23400 43000.0   0.0000    5.5350    0.8190
       1334-127 053657 55168.23400 43000.0   0.0000    5.6430    0.8400
       1334-127 053657 55168.23400 43000.0   0.0000    5.6430    0.8400
       1334-127 060711 55168.25500 43000.0   0.0000    5.0850    0.7870
       1334-127 023657 55210.10900 43000.0   0.0000    4.5860    0.4910
       1334-127 030711 55210.13000 43000.0   0.0000    4.8300    0.5200
       1334-127 023657 55211.10900 43000.0   0.0000    4.0140    0.4250
       1334-127 183726 53503.77600  5000.0   0.0000    5.2170    0.1460
       1334-127 211131 53503.88300  5000.0   0.0000    5.1890    0.1400
       1334-127 232400 53503.97500  5000.0   0.0000    5.1940    0.1380
       1334-127 182721 53504.76900  5000.0   0.0000    5.4890    0.1780
       1334-127 210419 53504.87800  5000.0   0.0000    5.2100    0.1410
       1334-127 231814 53504.97100  5000.0   0.0000    5.1070    0.1360
       1334-127 182302 53505.76600  5000.0   0.0000    4.9790    0.1370
       1334-127 210000 53505.87500  5000.0   0.0000    4.9100    0.1320
       1334-127 231228 53505.96700  5000.0   0.0000    4.9380    0.1330
       1334-127 162624 53544.68500  5000.0   0.0000    5.2070    0.1430
       1334-127 185609 53544.78900  5000.0   0.0000    5.0890    0.1340
       1334-127 133921 53576.56900  5000.0   0.0000    4.8530    0.1600
       1334-127 170350 53577.71100  5000.0   0.0000    4.6020    0.1400
       1334-127 093307 53639.39800  5000.0   0.0000    4.9160    0.1250
       1334-127 114243 53639.48800  5000.0   0.0000    4.8620    0.1210
       1334-127 144116 53639.61200  5000.0   0.0000    4.6320    0.1250
       1334-127 054702 53724.24100  5000.0   0.0000    3.5160    0.1130
       1334-127 083238 53724.35600  5000.0   0.0000    3.6300    0.1150
       1334-127 014047 53764.07000  5000.0   0.0000    3.7160    0.1370
       1334-127 044633 53766.19900  5000.0   0.0000    3.5020    0.1320
       1334-127 044926 53770.20100  5000.0   0.0000    3.5290    0.0960
       1334-127 050223 53770.21000  5000.0   0.0000    3.5800    0.0960
       1334-127 051355 53770.21800  5000.0   0.0000    3.4680    0.0880
       1334-127 014926 53826.07600  5000.0   0.0000    3.0440    0.1310
       1334-127 020223 53826.08500  5000.0   0.0000    3.0020    0.1210
       1334-127 021521 53826.09400  5000.0   0.0000    2.9670    0.1200
       1334-127 230516 53851.96200  5000.0   0.0000    3.2160    0.1480
       1334-127 231814 53851.97100  5000.0   0.0000    3.3070    0.1490
       1334-127 140935 53974.59000  5000.0   0.0000    3.0450    0.1070
       1334-127 142233 53974.59900  5000.0   0.0000    2.8360    0.1200
       1334-127 105804 54012.45700  5000.0   0.0000    3.4870    0.0860
       1334-127 111102 54012.46600  5000.0   0.0000    3.3380    0.0880
       1334-127 113657 54023.48400  5000.0   0.0000    5.0150    0.1670
       1334-127 233404 54199.98200  5000.0   0.0000    3.7260    0.0870
       1334-127 234828 54199.99200  5000.0   0.0000    3.7070    0.0940
       1334-127 183140 54296.77200  5000.0   0.0000    5.7470    0.1730
       1334-127 184604 54296.78200  5000.0   0.0000    5.7450    0.1940
       1334-127 132331 54348.55800  5000.0   0.0000    4.2920    0.1720
       1334-127 133628 54348.56700  5000.0   0.0000    5.1290    0.2090
       1334-127 134926 54348.57600  5000.0   0.0000    5.1190    0.1660
       1334-127 140350 54348.58600  5000.0   0.0000    4.7560    0.1550
       1334-127 113404 54374.48200  5000.0   0.0000    4.9740    0.1370
       1334-127 114702 54374.49100  5000.0   0.0000    4.8350    0.1380
       1334-127 163335 54668.69000  5000.0   0.0000    4.6060    0.3970
       1334-127 164800 54668.70000  5000.0   0.0000    4.3030    0.2830
       1334-127 153726 54689.65100  5000.0   0.0000    4.7510    0.1760
       1334-127 155150 54689.66100  5000.0   0.0000    4.7880    0.1680
       1334-127 104633 54779.44900  5000.0   0.0000    4.0260    0.1640
       1334-127 110057 54779.45900  5000.0   0.0000    3.8690    0.1450
       1334-127 233950 54912.98600  5000.0   0.0000    4.7600    0.2700
       1334-127 235248 54912.99500  5000.0   0.0000    4.5900    0.4200
       1334-127 230516 54953.96200  5000.0   0.0000    5.2820    0.5890
       1334-127 231814 54953.97100  5000.0   0.0000    5.3680    0.3490
       1334-127 192457 55002.80900  5000.0   0.0000    5.1210    0.1740
       1334-127 193755 55002.81800  5000.0   0.0000    5.1000    0.1680
       1334-127 161033 55034.67400  5000.0   0.0000    5.1010    0.2930
       1334-127 162457 55034.68400  5000.0   0.0000    5.1860    0.2880
       1334-127 154731 55062.65800  5000.0   0.0000    5.1600    0.3820
       1334-127 160028 55062.66700  5000.0   0.0000    5.2050    0.3420
       1334-127 123014 55099.52100  5000.0   0.0000    5.1060    0.1330
       1334-127 124311 55099.53000  5000.0   0.0000    5.2020    0.1790
       1334-127 114955 55122.49300  5000.0   0.0000    3.7570    0.2040
       1334-127 043628 55210.19200  5000.0   0.0000    4.0460    0.1190
       1334-127 200350 53503.83600  8000.0   0.0000    6.8010    0.1690
       1334-127 195345 53504.82900  8000.0   0.0000    6.4870    0.2120
       1334-127 220447 53504.92000  8000.0   0.0000    6.7820    0.1710
       1334-127 195052 53505.82700  8000.0   0.0000    6.4450    0.1670
       1334-127 220028 53505.91700  8000.0   0.0000    6.4850    0.1720
       1334-127 205833 53544.87400  8000.0   0.0000    6.7010    0.2850
       1334-127 181843 53576.76300  8000.0   0.0000    6.4110    0.2700
       1334-127 131033 53605.54900  8000.0   0.0000    5.7320    0.2130
       1334-127 161159 53606.67500  8000.0   0.0000    5.6460    0.2080
       1334-127 144116 53637.61200  8000.0   0.0000    5.6940    0.1510
       1334-127 095902 53638.41600  8000.0   0.0000    5.4750    0.1350
       1334-127 121131 53638.50800  8000.0   0.0000    5.5510    0.1420
       1334-127 042916 53721.18700  8000.0   0.0000    4.6240    0.1400
       1334-127 063014 53721.27100  8000.0   0.0000    4.5320    0.1340
       1334-127 015052 53742.07700  8000.0   0.0000    3.8280    0.0860
       1334-127 023531 53742.10800  8000.0   0.0000    3.9510    0.0880
       1334-127 053404 53743.23200  8000.0   0.0000    3.7760    0.1210
       1334-127 055833 53744.24900  8000.0   0.0000    3.9830    0.1150
       1334-127 045638 53771.20600  8000.0   0.0000    4.3060    0.1710
       1334-127 050935 53771.21500  8000.0   0.0000    4.4330    0.1730
       1334-127 052107 53771.22300  8000.0   0.0000    4.4290    0.1770
       1334-127 005024 53779.03500  8000.0   0.0000    4.0180    0.0990
       1334-127 013628 53779.06700  8000.0   0.0000    4.1860    0.0960
       1334-127 015931 53805.08300  8000.0   0.0000    3.7160    0.1400
       1334-127 021228 53805.09200  8000.0   0.0000    3.7050    0.1330
       1334-127 022526 53805.10100  8000.0   0.0000    3.7370    0.2090
       1334-127 003140 53831.02200  8000.0   0.0000    3.8600    0.2330
       1334-127 004438 53831.03100  8000.0   0.0000    3.7180    0.2670
       1334-127 225804 53850.95700  8000.0   0.0000    4.1060    0.3080
       1334-127 231102 53850.96600  8000.0   0.0000    3.5860    0.2900
       1334-127 232526 53850.97600  8000.0   0.0000    3.7670    0.3310
       1334-127 222204 53860.93200  8000.0   0.0000    3.9030    0.0900
       1334-127 182009 53907.76400  8000.0   0.0000    3.5840    0.1210
       1334-127 152555 53956.64300  8000.0   0.0000    3.6550    0.1810
       1334-127 161033 53973.67400  8000.0   0.0000    3.7050    0.1580
       1334-127 114828 54022.49200  8000.0   0.0000    3.7210    0.1510
       1334-127 111521 54037.46900  8000.0   0.0000    3.7880    0.2680
       1334-127 085833 54080.37400  8000.0   0.0000    4.5590    0.0940
       1334-127 075345 54099.32900  8000.0   0.0000    3.9490    0.1310
       1334-127 042038 54150.18100  8000.0   0.0000    3.9720    0.1260
       1334-127 002428 54186.01700  8000.0   0.0000    4.5930    0.3100
       1334-127 233657 54198.98400  8000.0   0.0000    4.5840    0.1170
       1334-127 235707 54219.99800  8000.0   0.0000    4.6720    0.1710
       1334-127 235707 54219.99800  8000.0   0.0000    4.6720    0.1710
       1334-127 180126 54275.75100  8000.0   0.0000    6.1550    0.2250
       1334-127 171102 54289.71600  8000.0   0.0000    6.1440    0.1190
       1334-127 184311 54295.78000  8000.0   0.0000    5.8110    0.1930
       1334-127 171648 54324.72000  8000.0   0.0000    5.5760    0.1800
       1334-127 150000 54343.62500  8000.0   0.0000    6.0320    0.2280
       1334-127 131033 54373.54900  8000.0   0.0000    5.2850    0.1980
       1334-127 095024 54421.41000  8000.0   0.0000    5.9620    0.1950
       1334-127 083950 54435.36100  8000.0   0.0000    5.5570    0.1190
       1334-127 062555 54477.26800  8000.0   0.0000    5.6170    0.3280
       1334-127 024243 54513.11300  8000.0   0.0000    6.2780    0.2410
       1334-127 230643 54575.96300  8000.0   0.0000    6.2100    0.1700
       1334-127 224214 54604.94600  8000.0   0.0000    6.3180    0.1840
       1334-127 192204 54640.80700  8000.0   0.0000    6.0590    0.1560
       1334-127 183559 54652.77500  8000.0   0.0000    5.8190    0.2220
       1334-127 174243 54667.73800  8000.0   0.0000    5.8930    0.2220
       1334-127 164047 54688.69500  8000.0   0.0000    5.4000    0.1490
       1334-127 142945 54723.60400  8000.0   0.0000    5.2520    0.3210
       1334-127 100321 54777.41900  8000.0   0.0000    4.6740    0.1700
       1334-127 004857 54952.03400  8000.0   0.0000    6.4720    0.4630
       1334-127 200057 55003.83400  8000.0   0.0000    5.8680    0.2980
       1334-127 191745 55035.80400  8000.0   0.0000    6.0300    0.1710
       1334-127 150252 55063.62700  8000.0   0.0000    5.5750    0.1070
       1334-127 152721 55076.64400  8000.0   0.0000    5.9110    0.2930
       1334-127 123433 55100.52400  8000.0   0.0000    4.5050    0.7660
       1334-127 062848 55208.27000  8000.0   0.0000    4.1450    0.2840
       1354+195 055707 53772.24800 22000.0   0.0000    2.2570    0.4360
       1354+195 060838 53772.25600 22000.0   0.0000    2.0010    0.3230
       1354+195 023238 53806.10600 22000.0   0.0000    2.0320    0.4640
       1354+195 024536 53806.11500 22000.0   0.0000    1.9860    0.4190
       1354+195 005736 53850.04000 22000.0   0.0000    2.1370    0.4170
       1354+195 011033 53850.04900 22000.0   0.0000    2.1170    0.4140
       1354+195 233823 53861.98500 22000.0   0.0000    2.0960    0.2840
       1354+195 235121 53861.99400 22000.0   0.0000    1.8730    0.3120
       1354+195 134800 54009.57500 22000.0   0.0000    2.1170    0.4080
       1354+195 140057 54009.58400 22000.0   0.0000    2.4530    0.4680
       1354+195 123852 54021.52700 22000.0   0.0000    1.2910    0.2940
       1354+195 125150 54021.53600 22000.0   0.0000    1.8240    0.3420
       1354+195 103628 54058.44200 22000.0   0.0000    1.9840    0.2380
       1354+195 104926 54058.45100 22000.0   0.0000    1.8940    0.2430
       1354+195 110223 54058.46000 22000.0   0.0000    1.9580    0.2510
       1354+195 111521 54058.46900 22000.0   0.0000    1.8550    0.2580
       1354+195 080223 54098.33500 22000.0   0.0000    2.6700    0.4060
       1354+195 081521 54098.34400 22000.0   0.0000    3.0320    0.6810
       1354+195 084243 54098.36300 22000.0   0.0000    1.2520    0.6610
       1354+195 060711 54121.25500 22000.0   0.0000    1.9440    0.4410
       1354+195 062009 54121.26400 22000.0   0.0000    2.4380    0.4600
       1354+195 063307 54121.27300 22000.0   0.0000    2.2100    0.5020
       1354+195 042204 54149.18200 22000.0   0.0000    2.3080    0.4310
       1354+195 044926 54149.20100 22000.0   0.0000    1.7820    0.3530
       1354+195 050223 54149.21000 22000.0   0.0000    2.6280    0.4000
       1354+195 003433 54198.02400 22000.0   0.0000    3.4620    0.6420
       1354+195 004857 54198.03400 22000.0   0.0000    2.5150    0.5560
       1354+195 012331 54219.05800 22000.0   0.0000    2.8030    1.2940
       1354+195 012331 54219.05800 22000.0   0.0000    2.8030    1.2940
       1354+195 153852 54274.65200 22000.0   0.0000    2.9090    0.4220
       1354+195 155316 54274.66200 22000.0   0.0000    2.1550    0.4660
       1354+195 160614 54274.67100 22000.0   0.0000    1.8890    0.4580
       1354+195 161912 54274.68000 22000.0   0.0000    2.2260    0.3630
       1354+195 194047 54287.82000 22000.0   0.0000    2.6260    0.3190
       1354+195 195512 54287.83000 22000.0   0.0000    2.1580    0.3110
       1354+195 201648 54294.84500 22000.0   0.0000    2.3290    0.3010
       1354+195 203111 54294.85500 22000.0   0.0000    2.5420    0.2930
       1354+195 154604 54323.65700 22000.0   0.0000    3.1360    0.3910
       1354+195 155902 54323.66600 22000.0   0.0000    1.3710    0.3240
       1354+195 161159 54323.67500 22000.0   0.0000    1.7850    0.2950
       1354+195 162457 54323.68400 22000.0   0.0000    1.6450    0.3320
       1354+195 150000 54345.62500 22000.0   0.0000    1.4370    0.2900
       1354+195 151257 54345.63400 22000.0   0.0000    2.3070    0.3350
       1354+195 152555 54345.64300 22000.0   0.0000    2.6820    0.3330
       1354+195 153852 54345.65200 22000.0   0.0000    2.7860    0.3970
       1354+195 080223 54457.33500 22000.0   0.0000    2.8580    0.3930
       1354+195 081521 54457.34400 22000.0   0.0000    2.8670    0.3700
       1354+195 082819 54457.35300 22000.0   0.0000    2.6730    0.3970
       1354+195 071619 54461.30300 22000.0   0.0000    2.2790    0.1840
       1354+195 072916 54461.31200 22000.0   0.0000    2.4730    0.2010
       1354+195 062302 54479.26600 22000.0   0.0000    2.2460    0.3120
       1354+195 063559 54479.27500 22000.0   0.0000    1.8630    0.3610
       1354+195 064857 54479.28400 22000.0   0.0000    3.1820    0.2890
       1354+195 034145 54512.15400 22000.0   0.0000    1.9860    0.2430
       1354+195 035443 54512.16300 22000.0   0.0000    2.1870    0.1930
       1354+195 040907 54512.17300 22000.0   0.0000    2.2680    0.2390
       1354+195 042204 54512.18200 22000.0   0.0000    2.0410    0.2140
       1354+195 010740 54561.04700 22000.0   0.0000    2.0600    0.3550
       1354+195 012038 54561.05600 22000.0   0.0000    2.7070    0.4900
       1354+195 224633 54576.94900 22000.0   0.0000    2.6580    0.3320
       1354+195 225931 54576.95800 22000.0   0.0000    2.6230    0.3930
       1354+195 193335 54639.81500 22000.0   0.0000    2.5220    0.2970
       1354+195 194633 54639.82400 22000.0   0.0000    2.5760    0.2960
       1354+195 174828 54666.74200 22000.0   0.0000    2.0350    0.2420
       1354+195 180126 54666.75100 22000.0   0.0000    1.8580    0.2280
       1354+195 165345 54687.70400 22000.0   0.0000    1.8670    0.2760
       1354+195 133209 54722.56400 22000.0   0.0000    2.4910    1.1270
       1354+195 134633 54722.57400 22000.0   0.0000    1.5350    0.4350
       1354+195 082107 54779.34800 22000.0   0.0000    2.2530    0.3100
       1354+195 083404 54779.35700 22000.0   0.0000    2.2330    0.3350
       1354+195 224340 54911.94700 22000.0   0.0000    1.7500    0.3910
       1354+195 225638 54911.95600 22000.0   0.0000    1.6210    0.3810
       1354+195 215736 54952.91500 22000.0   0.0000    1.7260    1.1500
       1354+195 164926 55001.70100 22000.0   0.0000    1.4470    0.4740
       1354+195 140643 55033.58800 22000.0   0.0000    1.4400    0.2880
       1354+195 142107 55033.59800 22000.0   0.0000    1.2820    0.2560
       1354+195 140223 55098.58500 22000.0   0.0000    2.4290    0.3610
       1354+195 141648 55098.59500 22000.0   0.0000    2.1910    0.3530
       1354+195 121550 55121.51100 22000.0   0.0000    1.5490    0.2390
       1354+195 123014 55121.52100 22000.0   0.0000    1.9480    0.2700
       1354+195 071452 55209.30200 22000.0   0.0000    1.5380    0.1970
       1354+195 072916 55209.31200 22000.0   0.0000    1.7180    0.1680
       1354+195 212136 53825.89000 43000.0   0.0000    2.2060    0.8370
       1354+195 212136 53826.89000 43000.0   0.0000    1.4360    0.6870
       1354+195 192204 53854.80700 43000.0   0.0000    2.2270    0.7550
       1354+195 182136 53878.76500 43000.0   0.0000    1.4170    0.4780
       1354+195 162204 53913.68200 43000.0   0.0000    1.1880    0.4430
       1354+195 152136 53928.64000 43000.0   0.0000    1.4860    0.5070
       1354+195 132204 53951.55700 43000.0   0.0000    1.6560    0.5120
       1354+195 132204 53952.55700 43000.0   0.0000    1.4250    0.4760
       1354+195 122136 53971.51500 43000.0   0.0000    1.5470    0.5570
       1354+195 122136 53972.51500 43000.0   0.0000    1.3390    0.5530
       1354+195 102204 53999.43200 43000.0   0.0000    1.2940    0.3930
       1354+195 102204 54000.43200 43000.0   0.0000    1.1850    0.4250
       1354+195 082107 54025.34800 43000.0   0.0000    0.7540    0.5310
       1354+195 082107 54026.34800 43000.0   0.0000    1.1110    0.4950
       1354+195 162204 54277.68200 43000.0   0.0000    1.8670    0.2860
       1354+195 132204 54321.55700 43000.0   0.0000    2.3680    0.3040
       1354+195 132204 54322.55700 43000.0   0.0000    1.9430    0.2630
       1354+195 102331 54365.43300 43000.0   0.0000    1.9960    0.2840
       1354+195 092302 54389.39100 43000.0   0.0000    2.2560    0.2840
       1354+195 091716 54390.38700 43000.0   0.0000    2.7150    0.3800
       1354+195 063559 54422.27500 43000.0   0.0000    1.6600    0.2520
       1354+195 063726 54423.27600 43000.0   0.0000    2.2580    0.2910
       1354+195 063559 54436.27500 43000.0   0.0000    2.7740    0.4420
       1354+195 063559 54437.27500 43000.0   0.0000    2.4430    0.4070
       1354+195 053531 54453.23300 43000.0   0.0000    1.9270    0.4000
       1354+195 033852 54479.15200 43000.0   0.0000    2.8340    0.6040
       1354+195 034019 54480.15300 43000.0   0.0000    2.5770    0.4320
       1354+195 014340 54505.07200 43000.0   0.0000    2.4030    0.3380
       1354+195 012331 54506.05800 43000.0   0.0000    2.1920    0.2870
       1354+195 014047 54507.07000 43000.0   0.0000    2.4630    0.3390
       1354+195 004019 54523.02800 43000.0   0.0000    2.3680    0.2680
       1354+195 213559 54556.90000 43000.0   0.0000    2.7110    0.3140
       1354+195 222204 54556.93200 43000.0   0.0000    2.9340    0.3410
       1354+195 193628 54579.81700 43000.0   0.0000    2.0600    0.2330
       1354+195 202107 54579.84800 43000.0   0.0000    1.9900    0.2250
       1354+195 193628 54580.81700 43000.0   0.0000    1.9520    0.2130
       1354+195 202107 54580.84800 43000.0   0.0000    2.1090    0.2210
       1354+195 192204 54596.80700 43000.0   0.0000    1.8420    0.2580
       1354+195 183559 54598.77500 43000.0   0.0000    1.8180    0.3120
       1354+195 182136 54611.76500 43000.0   0.0000    2.1740    0.2330
       1354+195 173657 54612.73400 43000.0   0.0000    1.9160    0.2060
       1354+195 182136 54612.76500 43000.0   0.0000    2.1090    0.2360
       1354+195 153559 54641.65000 43000.0   0.0000    2.1330    0.3400
       1354+195 162204 54641.68200 43000.0   0.0000    2.1590    0.3240
       1354+195 162204 54642.68200 43000.0   0.0000    2.1370    0.2970
       1354+195 153726 54643.65100 43000.0   0.0000    2.0580    0.2990
       1354+195 162204 54643.68200 43000.0   0.0000    1.9410    0.2930
       1354+195 143531 54659.60800 43000.0   0.0000    2.9360    0.4970
       1354+195 152009 54659.63900 43000.0   0.0000    2.7210    0.4880
       1354+195 143657 54660.60900 43000.0   0.0000    2.5230    0.4680
       1354+195 152136 54660.64000 43000.0   0.0000    2.8800    0.4790
       1354+195 133628 54679.56700 43000.0   0.0000    2.0500    0.2540
       1354+195 142107 54679.59800 43000.0   0.0000    1.9580    0.2350
       1354+195 133628 54680.56700 43000.0   0.0000    2.0200    0.2800
       1354+195 142107 54680.59800 43000.0   0.0000    1.9860    0.2340
       1354+195 133628 54681.56700 43000.0   0.0000    2.0880    0.2640
       1354+195 142107 54681.59800 43000.0   0.0000    1.8930    0.2470
       1354+195 133628 54682.56700 43000.0   0.0000    1.9150    0.2490
       1354+195 142107 54682.59800 43000.0   0.0000    2.2160    0.2900
       1354+195 113657 54708.48400 43000.0   0.0000    2.0310    0.2480
       1354+195 113657 54709.48400 43000.0   0.0000    1.6430    0.2200
       1354+195 122302 54709.51600 43000.0   0.0000    2.1320    0.2790
       1354+195 113657 54710.48400 43000.0   0.0000    1.9130    0.2450
       1354+195 122136 54710.51500 43000.0   0.0000    2.0880    0.2790
       1354+195 092009 54743.38900 43000.0   0.0000    2.1390    0.4340
       1354+195 092136 54744.39000 43000.0   0.0000    1.7270    0.3330
       1354+195 092009 54745.38900 43000.0   0.0000    2.3070    0.4330
       1354+195 063559 54779.27500 43000.0   0.0000    1.4440    0.2450
       1354+195 073628 54779.31700 43000.0   0.0000    1.9870    0.3120
       1354+195 063726 54780.27600 43000.0   0.0000    1.8820    0.3200
       1354+195 073755 54780.31800 43000.0   0.0000    2.0540    0.3320
       1354+195 063726 54781.27600 43000.0   0.0000    1.5850    0.3210
       1354+195 073628 54781.31700 43000.0   0.0000    1.8190    0.2970
       1354+195 063726 54808.27600 43000.0   0.0000    1.9850    0.3390
       1354+195 063559 54809.27500 43000.0   0.0000    1.6470    0.2730
       1354+195 033726 54842.15100 43000.0   0.0000    1.7070    0.5320
       1354+195 014047 54877.07000 43000.0   0.0000    1.7220    0.3280
       1354+195 013921 54879.06900 43000.0   0.0000    1.4890    0.3510
       1354+195 222038 54928.93100 43000.0   0.0000    1.3830    0.1640
       1354+195 213726 54929.90100 43000.0   0.0000    1.5010    0.1850
       1354+195 222204 54929.93200 43000.0   0.0000    1.5400    0.1780
       1354+195 213559 54930.90000 43000.0   0.0000    1.5190    0.1670
       1354+195 222204 54930.93200 43000.0   0.0000    1.5590    0.2010
       1354+195 183559 54959.77500 43000.0   0.0000    1.2770    0.1780
       1354+195 192204 54959.80700 43000.0   0.0000    1.4830    0.1950
       1354+195 183559 54960.77500 43000.0   0.0000    1.5020    0.2130
       1354+195 192204 54960.80700 43000.0   0.0000    1.4350    0.1870
       1354+195 183559 54961.77500 43000.0   0.0000    1.3810    0.1860
       1354+195 192204 54961.80700 43000.0   0.0000    1.4320    0.1860
       1354+195 153559 55009.65000 43000.0   0.0000    1.3100    0.2420
       1354+195 162038 55009.68100 43000.0   0.0000    1.5740    0.2470
       1354+195 153559 55010.65000 43000.0   0.0000    1.4890    0.1930
       1354+195 162038 55010.68100 43000.0   0.0000    1.4880    0.2290
       1354+195 153559 55011.65000 43000.0   0.0000    1.7700    0.2890
       1354+195 063726 55168.27600 43000.0   0.0000    1.9190    0.3310
       1354+195 033726 55210.15100 43000.0   0.0000    1.8390    0.2200
       1354+195 084409 53724.36400  5000.0   0.0000    1.4460    0.0740
       1354+195 000545 53764.00400  5000.0   0.0000    1.5250    0.0890
       1354+195 045931 53766.20800  5000.0   0.0000    1.4840    0.1170
       1354+195 052819 53770.22800  5000.0   0.0000    1.5390    0.0800
       1354+195 053950 53770.23600  5000.0   0.0000    1.5260    0.0710
       1354+195 055248 53770.24500  5000.0   0.0000    1.5590    0.0720
       1354+195 022819 53826.10300  5000.0   0.0000    1.5350    0.0870
       1354+195 005609 53852.03900  5000.0   0.0000    1.5140    0.1040
       1354+195 010907 53852.04800  5000.0   0.0000    1.5200    0.0950
       1354+195 171228 53974.71700  5000.0   0.0000    1.5320    0.0790
       1354+195 172526 53974.72600  5000.0   0.0000    1.5510    0.0830
       1354+195 150838 54011.63100  5000.0   0.0000    1.5100    0.1140
       1354+195 152136 54011.64000  5000.0   0.0000    1.5430    0.1340
       1354+195 125024 54023.53500  5000.0   0.0000    1.5310    0.0580
       1354+195 130321 54023.54400  5000.0   0.0000    1.4300    0.0620
       1354+195 202400 54296.85000  5000.0   0.0000    1.5700    0.1040
       1354+195 203657 54296.85900  5000.0   0.0000    1.7160    0.0930
       1354+195 141814 54348.59600  5000.0   0.0000    1.6440    0.0540
       1354+195 143238 54348.60600  5000.0   0.0000    1.6950    0.0640
       1354+195 144536 54348.61500  5000.0   0.0000    1.6740    0.0600
       1354+195 145833 54348.62400  5000.0   0.0000    1.6410    0.0580
       1354+195 131619 54374.55300  5000.0   0.0000    1.6510    0.0680
       1354+195 135638 54689.58100  5000.0   0.0000    1.9260    0.0810
       1354+195 123852 54779.52700  5000.0   0.0000    1.8010    0.0720
       1354+195 125150 54779.53600  5000.0   0.0000    1.7640    0.0780
       1354+195 011912 54913.05500  5000.0   0.0000    1.7560    0.2640
       1354+195 010155 54954.04300  5000.0   0.0000    1.9450    0.3120
       1354+195 202652 55002.85200  5000.0   0.0000    1.8470    0.0840
       1354+195 203950 55002.86100  5000.0   0.0000    1.8310    0.0820
       1354+195 180838 55034.75600  5000.0   0.0000    1.9580    0.3740
       1354+195 182302 55034.76600  5000.0   0.0000    1.7940    0.2360
       1354+195 173111 55062.73000  5000.0   0.0000    1.8350    0.2760
       1354+195 174536 55062.74000  5000.0   0.0000    1.8770    0.3220
       1354+195 130028 55099.54200  5000.0   0.0000    1.8570    0.1320
       1354+195 131452 55099.55200  5000.0   0.0000    1.8820    0.1030
       1354+195 122009 55122.51400  5000.0   0.0000    1.9370    0.0770
       1354+195 123433 55122.52400  5000.0   0.0000    1.9290    0.0980
       1354+195 050643 55210.21300  5000.0   0.0000    1.8890    0.0800
       1354+195 051940 55210.22200  5000.0   0.0000    1.8620    0.0760
       1354+195 030545 53742.12900  8000.0   0.0000    1.5050    0.0340
       1354+195 094019 53766.40300  8000.0   0.0000    1.6460    0.1670
       1354+195 054702 53771.24100  8000.0   0.0000    1.5330    0.0880
       1354+195 060000 53771.25000  8000.0   0.0000    1.5740    0.0810
       1354+195 020516 53779.08700  8000.0   0.0000    1.5430    0.0390
       1354+195 023823 53805.11000  8000.0   0.0000    1.5980    0.1120
       1354+195 025121 53805.11900  8000.0   0.0000    1.6020    0.1000
       1354+195 030252 53805.12700  8000.0   0.0000    1.5600    0.0780
       1354+195 010028 53831.04200  8000.0   0.0000    1.5720    0.1470
       1354+195 011326 53831.05100  8000.0   0.0000    1.5310    0.1400
       1354+195 233950 53850.98600  8000.0   0.0000    1.6500    0.1710
       1354+195 225219 53859.95300  8000.0   0.0000    1.5380    0.0540
       1354+195 202945 53907.85400  8000.0   0.0000    1.5920    0.0700
       1354+195 185316 53955.78700  8000.0   0.0000    1.6330    0.0810
       1354+195 173823 53973.73500  8000.0   0.0000    1.6540    0.0590
       1354+195 150838 54010.63100  8000.0   0.0000    1.6710    0.0810
       1354+195 131452 54022.55200  8000.0   0.0000    1.7260    0.1140
       1354+195 125150 54037.53600  8000.0   0.0000    1.8580    0.1430
       1354+195 102624 54080.43500  8000.0   0.0000    1.7170    0.0610
       1354+195 092136 54099.39000  8000.0   0.0000    1.8770    0.1390
       1354+195 054828 54150.24200  8000.0   0.0000    1.7230    0.0650
       1354+195 022819 54186.10300  8000.0   0.0000    1.8730    0.2500
       1354+195 014047 54199.07000  8000.0   0.0000    1.7610    0.0900
       1354+195 020057 54220.08400  8000.0   0.0000    1.7080    0.0870
       1354+195 020057 54220.08400  8000.0   0.0000    1.7080    0.0870
       1354+195 200350 54275.83600  8000.0   0.0000    1.8800    0.0840
       1354+195 193209 54288.81400  8000.0   0.0000    1.8560    0.0420
       1354+195 205414 54295.87100  8000.0   0.0000    1.8590    0.0740
       1354+195 192038 54324.80600  8000.0   0.0000    1.9340    0.0850
       1354+195 170350 54343.71100  8000.0   0.0000    1.8450    0.0550
       1354+195 152136 54373.64000  8000.0   0.0000    1.8100    0.0550
       1354+195 112945 54421.47900  8000.0   0.0000    2.1720    0.2360
       1354+195 104340 54435.44700  8000.0   0.0000    1.8870    0.0780
       1354+195 082945 54477.35400  8000.0   0.0000    1.9110    0.1110
       1354+195 044633 54513.19900  8000.0   0.0000    1.9400    0.0830
       1354+195 223209 54575.93900  8000.0   0.0000    2.0180    0.0640
       1354+195 220740 54604.92200  8000.0   0.0000    1.9820    0.0750
       1354+195 184731 54640.78300  8000.0   0.0000    2.0150    0.0730
       1354+195 180126 54652.75100  8000.0   0.0000    1.9860    0.0780
