 Site = SRT
        Name    HHMMSS       #MJD    Freq     Elev    Amp_0    Amp_1  e_Amp_0  e_Amp_1   flux_0   flux_1 e_flux_0 e_flux_1
       1156+295 215554 60735.91547 24600.0  54.5129  14.0609  15.4074   0.0723   0.0604   4.8843   4.8717   0.0396   0.0350
       1219+285 215902 60735.91953 24600.0  50.9245   1.2320   1.3462   0.0530   0.0355   0.4278   0.4256   0.0186   0.0115
    PKS1222+216 005149 60736.03763 24600.0  71.4645   2.6940   2.9668   0.0626   0.0450   0.8388   0.7990   0.0237   0.0172
          3C273 005708 60736.04133 24600.0  52.2844  43.7749  47.5223   0.0913   0.0932  13.6209  12.7926   0.2185   0.1965
          3C279 010207 60736.04479 24600.0  43.8261  42.9460  47.8126   0.1139   0.1143  13.3654  12.8760   0.2155   0.1985
       1354+195 010736 60736.04859 24600.0  61.7479   5.0425   5.5376   0.0653   0.0598   1.5700   1.4910   0.0328   0.0278
     PKS1441+25 011101 60736.06318 24600.0  61.4751   0.5824   0.6498   0.0346   0.0246   0.1812   0.1748   0.0112   0.0072
       1334-127 013420 60736.06716 24600.0  36.3771   8.9233   9.9024   0.0994   0.0688   2.7781   2.6639   0.0541   0.0446
       1611+343 014040 60736.07156 24600.0  51.1866   4.2629   4.7308   0.1002   0.0545   1.3268   1.2740   0.0377   0.0243
    1ES2344+514 142350 60780.61063  4825.0  38.3098   3.3469   3.5797   0.0402   0.0577   0.2548   0.2512   0.0049   0.0056
       0528+134 144254 60780.61611  4825.0  63.0229  15.1558  16.5076   0.0685   0.0716   1.1545   1.1606   0.0180   0.0182
       0716+714 145040 60780.62061  4825.0  53.4786  16.6810  18.1852   0.1026   0.1073   1.2709   1.2785   0.0204   0.0207
       0736+017 145633 60780.62558  4825.0  39.2829   9.5872  10.2417   0.0773   0.0774   0.7310   0.7209   0.0125   0.0123
       0735+178 150151 60780.63035  4825.0  52.6306  18.5842  20.1475   0.0734   0.0764   1.4162   1.4162   0.0218   0.0220
       0827+243 150843 60780.63296  4825.0  47.4844  12.2954  13.4082   0.0883   0.0962   0.9393   0.9428   0.0157   0.0158
       0829+046 152152 60780.64209  4825.0  36.9027  10.0640  10.9526   0.0881   0.1040   0.7689   0.7691   0.0133   0.0137
          3c207 152526 60780.64456  4825.0  42.0956  28.0832  30.4533   0.0947   0.1105   2.1397   2.1409   0.0326   0.0332
       0836+710 153033 60780.64830  4825.0  51.1573  37.7719  41.1138   0.1217   0.1315   2.8784   2.8898   0.0437   0.0446
          OJ287 153550 60780.65178  4825.0  45.7874  47.2081  51.0060   0.1135   0.1268   3.5946   3.5842   0.0541   0.0548
       0954+658 154034 60780.65748  4825.0  47.2042  19.6689  21.2959   0.0746   0.0772   1.4979   1.4991   0.0230   0.0233
         MRK421 154806 60780.66141  4825.0  32.9743   6.8308   7.3670   0.0771   0.0871   0.5202   0.5178   0.0099   0.0099
       1156+295 155335 60780.66411  4825.0  19.2816  52.5496  56.9758   0.1404   0.1410   4.0038   4.0043   0.0604   0.0612
       1219+285 155708 60780.67418  4825.0  17.3686   6.8968   7.4938   0.0532   0.0617   0.5256   0.5266   0.0088   0.0091
         MRK421 164208 60780.69946 24600.0  43.0768   1.2399   1.3415   0.0862   0.0414   0.3449   0.3511   0.0243   0.0115
           3C84 165217 60780.70462 24600.0  47.7463 155.8742 168.3771   0.2920   0.2975  43.3380  44.0865   0.4883   0.4815
       0716+714 165821 60780.70891 24600.0  58.1597   5.1441   5.6934   0.0709   0.0564   1.4305   1.4910   0.0254   0.0218
       0736+017 170653 60780.71476 24600.0  51.8382  10.4346  11.3343   0.0584   0.0484   2.9014   2.9671   0.0361   0.0344
       0735+178 171206 60780.71933 24600.0  68.0336   4.6833   5.0547   0.0537   0.0399   1.3018   1.3238   0.0208   0.0177
       0827+243 171855 60780.72312 24600.0  70.3496   2.4178   2.6850   0.0720   0.0447   0.6723   0.7040   0.0215   0.0140
       0829+046 172229 60780.72654 24600.0  52.8677   3.5719   3.9236   0.0639   0.0392   0.9934   1.0279   0.0209   0.0151
          3c207 172703 60780.72877 24600.0  60.5349   5.7302   6.0547   0.0746   0.0471   1.5225   1.5166   0.0270   0.0208
       0836+710 173430 60780.73400 24600.0  57.9110   5.8134   6.3650   0.0679   0.0537   1.6180   1.6643   0.0263   0.0230
          OJ287 174152 60780.73906 24600.0  66.7857  21.6816  23.4352   0.0751   0.0847   6.0287   6.1441   0.0702   0.0703
       0954+658 180350 60780.75433 24600.0  60.2478   6.5961   7.0549   0.0785   0.0476   1.8343   1.8479   0.0299   0.0235
       1156+295 180948 60780.75846 24600.0  45.0081  14.3786  15.3549   0.0814   0.0614   3.9950   4.0205   0.0501   0.0464
       1219+285 181257 60780.76252 24600.0  41.4219   1.4125   1.4676   0.0627   0.0406   0.3926   0.3843   0.0180   0.0114
       0954+658 182015 60780.76573 24600.0  61.3211   6.8012   7.2532   0.1008   0.0537   1.8906   1.9102   0.0350   0.0255
       2223-052 090828 60782.38381  4825.0  43.2764  36.9389  40.7141   0.3004   0.3395   4.4462   4.4420   0.0770   0.0759
       2230+114 091351 60782.38649  4825.0  59.2134 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000 -99.0000
