J0050-0929  2.64 2456465.805   0.770 0.027
J0050-0929  2.64 2456480.702   0.896 0.027
J0050-0929  2.64 2456508.736   0.773 0.025
J0050-0929  2.64 2456536.604   0.688 0.042
J0050-0929  2.64 2456578.492   0.605 0.024
J0050-0929  2.64 2456719.202   0.574 0.019
J0050-0929  2.64 2456752.936   0.633 0.037
J0050-0929  2.64 2456809.953   0.493 0.017
J0050-0929  2.64 2456838.730   0.487 0.020
J0050-0929  2.64 2456872.668   0.526 0.063
J0050-0929  2.64 2456901.525   0.506 0.021
J0050-0929  4.85 2454953.964   1.199 0.011
J0050-0929  4.85 2454983.966   1.210 0.346
J0050-0929  4.85 2455001.709   0.995 0.008
J0050-0929  4.85 2455046.586   0.823 0.011
J0050-0929  4.85 2455072.561   0.773 0.007
J0050-0929  4.85 2455103.480   0.976 0.009
J0050-0929  4.85 2455138.491   0.809 0.007
J0050-0929  4.85 2455151.383   0.803 0.006
J0050-0929  4.85 2455164.375   0.742 0.013
J0050-0929  4.85 2455200.356   0.863 0.007
J0050-0929  4.85 2455255.171   0.597 0.006
J0050-0929  4.85 2455318.977   0.440 0.004
J0050-0929  4.85 2455340.977   0.340 0.003
J0050-0929  4.85 2455374.816   0.292 0.003
J0050-0929  4.85 2455424.620   0.253 0.016
J0050-0929  4.85 2455457.641   0.236 0.011
J0050-0929  4.85 2455486.426   0.252 0.011
J0050-0929  4.85 2455571.244   0.422 0.009
J0050-0929  4.85 2455681.887   0.636 0.013
J0050-0929  4.85 2455751.742   0.605 0.017
J0050-0929  4.85 2455779.629   0.648 0.018
J0050-0929  4.85 2455808.567   0.593 0.017
J0050-0929  4.85 2455835.507   0.613 0.041
J0050-0929  4.85 2455900.310   0.661 0.014
J0050-0929  4.85 2455933.237   0.720 0.021
J0050-0929  4.85 2455954.158   0.668 0.013
J0050-0929  4.85 2455990.049   0.796 0.011
J0050-0929  4.85 2456020.014   0.855 0.010
J0050-0929  4.85 2456046.925   0.940 0.093
J0050-0929  4.85 2456081.893   0.909 0.016
J0050-0929  4.85 2456143.702   0.847 0.009
J0050-0929  4.85 2456173.668   0.698 0.009
J0050-0929  4.85 2456200.615   0.574 0.010
J0050-0929  4.85 2456263.353   0.787 0.012
J0050-0929  4.85 2456297.252   0.788 0.016
J0050-0929  4.85 2456328.129   0.829 0.011
J0050-0929  4.85 2456383.988   0.699 0.024
J0050-0929  4.85 2456417.898   0.782 0.011
J0050-0929  4.85 2456444.927   0.843 0.012
J0050-0929  4.85 2456465.803   0.904 0.017
J0050-0929  4.85 2456480.700   1.001 0.010
J0050-0929  4.85 2456508.734   0.871 0.009
J0050-0929  4.85 2456536.601   0.729 0.009
J0050-0929  4.85 2456578.490   0.599 0.008
J0050-0929  4.85 2456663.349   0.647 0.038
J0050-0929  4.85 2456691.122   0.587 0.011
J0050-0929  4.85 2456719.200   0.576 0.006
J0050-0929  4.85 2456752.933   0.644 0.052
J0050-0929  4.85 2456809.951   0.456 0.011
J0050-0929  4.85 2456838.728   0.406 0.010
J0050-0929  4.85 2456872.666   0.427 0.030
J0050-0929  4.85 2456901.523   0.496 0.022
J0050-0929  8.35 2455001.706   1.076 0.090
J0050-0929  8.35 2455046.582   0.899 0.020
J0050-0929  8.35 2455072.558   0.868 0.011
J0050-0929  8.35 2455103.478   1.045 0.014
J0050-0929  8.35 2455138.489   0.836 0.017
J0050-0929  8.35 2455151.380   0.856 0.016
J0050-0929  8.35 2455164.371   0.834 0.014
J0050-0929  8.35 2455200.354   0.871 0.012
J0050-0929  8.35 2455255.169   0.637 0.009
J0050-0929  8.35 2455318.975   0.382 0.005
J0050-0929  8.35 2455340.975   0.294 0.006
J0050-0929  8.35 2455374.814   0.244 0.003
J0050-0929  8.35 2455424.618   0.219 0.005
J0050-0929  8.35 2455457.638   0.232 0.006
J0050-0929  8.35 2455486.423   0.262 0.013
J0050-0929  8.35 2455543.270   0.394 0.027
J0050-0929  8.35 2455639.952   0.591 0.017
J0050-0929  8.35 2455681.885   0.677 0.024
J0050-0929  8.35 2455751.740   0.633 0.019
J0050-0929  8.35 2455779.627   0.637 0.014
J0050-0929  8.35 2455808.564   0.563 0.017
J0050-0929  8.35 2455835.504   0.626 0.014
J0050-0929  8.35 2455900.308   0.713 0.039
J0050-0929  8.35 2455933.228   0.774 0.012
J0050-0929  8.35 2455954.156   0.748 0.011
J0050-0929  8.35 2455990.047   0.865 0.011
J0050-0929  8.35 2456020.012   1.011 0.013
J0050-0929  8.35 2456046.923   1.086 0.076
J0050-0929  8.35 2456081.891   1.021 0.030
J0050-0929  8.35 2456143.700   0.894 0.014
J0050-0929  8.35 2456173.665   0.743 0.014
J0050-0929  8.35 2456200.613   0.679 0.010
J0050-0929  8.35 2456263.352   0.810 0.021
J0050-0929  8.35 2456297.250   0.855 0.013
J0050-0929  8.35 2456328.127   0.856 0.055
J0050-0929  8.35 2456383.987   0.762 0.012
J0050-0929  8.35 2456417.895   0.835 0.019
J0050-0929  8.35 2456444.924   0.921 0.030
J0050-0929  8.35 2456465.800   0.969 0.021
J0050-0929  8.35 2456480.697   1.055 0.015
J0050-0929  8.35 2456508.731   0.913 0.016
J0050-0929  8.35 2456536.598   0.732 0.009
J0050-0929  8.35 2456578.487   0.611 0.011
J0050-0929  8.35 2456663.346   0.640 0.048
J0050-0929  8.35 2456691.119   0.561 0.008
J0050-0929  8.35 2456719.197   0.563 0.011
J0050-0929  8.35 2456752.930   0.613 0.009
J0050-0929  8.35 2456809.948   0.409 0.007
J0050-0929  8.35 2456838.725   0.357 0.020
J0050-0929  8.35 2456872.663   0.419 0.007
J0050-0929 10.45 2454983.968   1.745 0.477
J0050-0929 10.45 2455001.702   1.093 0.090
J0050-0929 10.45 2455046.579   0.962 0.037
J0050-0929 10.45 2455072.555   0.896 0.012
J0050-0929 10.45 2455103.476   1.031 0.018
J0050-0929 10.45 2455138.487   0.866 0.014
J0050-0929 10.45 2455151.377   0.858 0.013
