   1ES2344+514   59297.7971   59297.7971   59297.7971    -1.0000   0.0000   0      0.2011   0.0230   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59354.6348   59354.6348   59354.6348    -1.0000   0.0000   0      0.1920   0.0167   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59391.4452   59391.3622   59391.5281    -1.0000   0.0000   0      0.1700   0.0360   1      0.1299   0.0252   1     -1.0000   0.0000   0    2 -0.252530
   1ES2344+514   59416.4554   59416.4554   59416.4554    -1.0000   0.0000   0      0.2053   0.0251   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59455.1883   59455.1883   59455.1883    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1677   0.0629   1     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59482.1530   59482.1198   59482.1862    -1.0000   0.0000   0      0.2200   0.0202   1      0.2408   0.0390   1     -1.0000   0.0000   0    2 +0.084797
   1ES2344+514   59507.1168   59507.1168   59507.1168    -1.0000   0.0000   0      0.2366   0.0388   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59568.8840   59568.8840   59568.8840    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1573   0.0510   1     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59593.3535   59592.8869   59593.8202    -1.0000   0.0000   0      0.2015   0.0351   2      0.1332   0.0308   2     -1.0000   0.0000   0    2 -0.388545
   1ES2344+514   59632.7024   59632.7024   59632.7024    -1.0000   0.0000   0     -1.0000   0.0000   0      0.2038   0.0343   1     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59688.7155   59688.7155   59688.7155    -1.0000   0.0000   0      0.1959   0.0265   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59717.6332   59717.6332   59717.6332    -1.0000   0.0000   0      0.2020   0.0240   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59787.4389   59787.4389   59787.4389    -1.0000   0.0000   0      0.2242   0.0250   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59812.2995   59812.2152   59812.3837    -1.0000   0.0000   0      0.2074   0.0190   1      0.1675   0.0651   1     -1.0000   0.0000   0    2 -0.200559
   1ES2344+514   59871.0600   59871.0600   59871.0600    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1803   0.0366   1     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59907.9870   59907.9513   59908.0227    -1.0000   0.0000   0      0.2139   0.0178   1      0.1237   0.0310   1     -1.0000   0.0000   0    2 -0.514054
   1ES2344+514   59932.9557   59932.9557   59932.9557    -1.0000   0.0000   0      0.2132   0.0217   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   59997.2913   59996.8725   59997.7101    -1.0000   0.0000   0      0.2501   0.0347   1      0.1355   0.0424   1     -1.0000   0.0000   0    2 -0.575292
   1ES2344+514   60054.6207   60054.6207   60054.6207    -1.0000   0.0000   0      0.4821   0.0689   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   60151.3639   60151.3639   60151.3639    -1.0000   0.0000   0      0.2090   0.0229   1     -1.0000   0.0000   0     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   60088.4910   60088.4910   60088.4910    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1899   0.0341   1     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   60116.3852   60116.3852   60116.3852    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1558   0.0351   1     -1.0000   0.0000   0    1 -9.990000
   1ES2344+514   60179.2100   60179.2100   60179.2100    -1.0000   0.0000   0     -1.0000   0.0000   0      0.1464   0.0399   1     -1.0000   0.0000   0    1 -9.990000
