MJD,Freq,Flux,Flux_err,Source
53351.924,8000.0,1.05,0.058,0219+428
53352.005,8000.0,1.079,0.058,0219+428
53352.104,8000.0,1.169,0.076,0219+428
53387.812,8000.0,1.272,0.065,0219+428
53417.641,8000.0,1.186,0.086,0219+428
53478.38,8000.0,1.173,0.07,0219+428
53511.142,8000.0,1.285,0.101,0219+428
53544.437,8000.0,1.514,0.091,0219+428
53577.091,8000.0,1.123,0.076,0219+428
53637.946,8000.0,1.102,0.074,0219+428
53638.321,8000.0,1.085,0.088,0219+428
53698.021,8000.0,1.227,0.168,0219+428
53698.8,8000.0,1.154,0.068,0219+428
53720.727,8000.0,1.205,0.071,0219+428
53721.912,8000.0,1.067,0.075,0219+428
53722.635,8000.0,1.08,0.122,0219+428
53740.567,8000.0,1.28,0.03,0219+428
53741.567,8000.0,1.323,0.039,0219+428
53741.619,8000.0,1.374,0.034,0219+428
53742.567,8000.0,1.418,0.038,0219+428
53742.621,8000.0,1.29,0.032,0219+428
53742.726,8000.0,1.199,0.077,0219+428
53744.566,8000.0,1.457,0.066,0219+428
53765.675,8000.0,1.368,0.127,0219+428
53771.625,8000.0,1.309,0.111,0219+428
53804.524,8000.0,1.243,0.14,0219+428
53804.533,8000.0,1.198,0.09,0219+428
53830.628,8000.0,1.506,0.127,0219+428
53956.095,8000.0,1.273,0.193,0219+428
53974.029,8000.0,1.142,0.146,0219+428
54010.926,8000.0,1.215,0.152,0219+428
54022.846,8000.0,1.16,0.179,0219+428
54037.824,8000.0,1.468,0.33,0219+428
54058.735,8000.0,1.186,0.209,0219+428
54080.726,8000.0,1.257,0.196,0219+428
54098.651,8000.0,1.145,0.291,0219+428
54121.594,8000.0,1.141,0.164,0219+428
54198.651,8000.0,1.233,0.079,0219+428
54219.665,8000.0,1.117,0.062,0219+428
54275.416,8000.0,1.28,0.061,0219+428
54289.4,8000.0,1.468,0.101,0219+428
54295.467,8000.0,1.353,0.132,0219+428
54325.023,8000.0,1.255,0.184,0219+428
54373.235,8000.0,1.3,0.061,0219+428
54421.714,8000.0,1.119,0.176,0219+428
54435.665,8000.0,1.112,0.175,0219+428
54513.485,8000.0,1.533,0.139,0219+428
54576.585,8000.0,1.347,0.073,0219+428
54605.52,8000.0,1.341,0.153,0219+428
54640.4,8000.0,1.245,0.072,0219+428
54652.346,8000.0,1.224,0.098,0219+428
54667.315,8000.0,1.334,0.116,0219+428
54688.267,8000.0,1.207,0.078,0219+428
54723.196,8000.0,1.205,0.153,0219+428
54778.007,8000.0,1.243,0.14,0219+428
55003.427,8000.0,1.026,0.119,0219+428
55035.397,8000.0,1.071,0.076,0219+428
55064.238,8000.0,0.906,0.065,0219+428
55077.262,8000.0,1.146,0.12,0219+428
55101.165,8000.0,1.045,0.067,0219+428
55123.136,8000.0,0.864,0.091,0219+428
55207.847,8000.0,1.031,0.07,0219+428
53376.733,22000.0,1.615,0.106,0235+164
53376.772,22000.0,1.706,0.114,0235+164
53377.733,22000.0,1.646,0.107,0235+164
53377.772,22000.0,1.627,0.11,0235+164
53378.772,22000.0,1.633,0.112,0235+164
53379.733,22000.0,1.58,0.113,0235+164
53379.772,22000.0,1.622,0.107,0235+164
53380.735,22000.0,1.629,0.11,0235+164
53380.772,22000.0,1.578,0.103,0235+164
53413.653,22000.0,1.388,0.067,0235+164
53414.549,22000.0,1.27,0.107,0235+164
53414.611,22000.0,1.346,0.166,0235+164
53414.653,22000.0,1.442,0.095,0235+164
53441.441,22000.0,1.17,0.14,0235+164
53441.502,22000.0,1.081,0.09,0235+164
53442.549,22000.0,1.145,0.083,0235+164
53443.445,22000.0,1.245,0.056,0235+164
53443.507,22000.0,1.208,0.058,0235+164
53465.403,22000.0,0.988,0.404,0235+164
53465.466,22000.0,0.708,0.532,0235+164
53465.507,22000.0,1.078,0.404,0235+164
53510.299,22000.0,0.597,0.432,0235+164
53511.299,22000.0,0.409,0.528,0235+164
53636.936,22000.0,1.791,0.428,0235+164
53636.944,22000.0,1.695,0.418,0235+164
53638.129,22000.0,1.781,0.312,0235+164
53638.137,22000.0,1.717,0.328,0235+164
53697.838,22000.0,3.559,0.508,0235+164
53697.845,22000.0,3.381,0.428,0235+164
53722.809,22000.0,2.81,0.407,0235+164
53722.817,22000.0,2.714,0.409,0235+164
53742.905,22000.0,2.787,0.393,0235+164
53742.913,22000.0,3.089,0.439,0235+164
53743.922,22000.0,3.115,0.343,0235+164
53743.93,22000.0,2.805,0.335,0235+164
53750.633,22000.0,3.281,0.198,0235+164
53765.84,22000.0,2.668,0.372,0235+164
53766.695,22000.0,2.624,0.379,0235+164
53766.703,22000.0,2.549,0.298,0235+164
53772.683,22000.0,2.846,0.318,0235+164
53772.691,22000.0,2.956,0.321,0235+164
53772.7,22000.0,2.948,0.318,0235+164
53805.561,22000.0,2.964,0.32,0235+164
53805.57,22000.0,3.033,0.321,0235+164
53849.451,22000.0,2.142,0.32,0235+164
53849.46,22000.0,2.208,0.332,0235+164
53927.238,22000.0,1.752,0.381,0235+164
53955.152,22000.0,1.745,0.311,0235+164
53955.161,22000.0,1.395,0.296,0235+164
53955.17,22000.0,1.206,0.302,0235+164
53973.11,22000.0,0.865,0.343,0235+164
53973.119,22000.0,1.275,0.324,0235+164
53973.128,22000.0,0.873,0.317,0235+164
54009.97,22000.0,0.87,0.312,0235+164
54009.979,22000.0,0.45,0.276,0235+164
54021.953,22000.0,0.567,0.278,0235+164
54021.963,22000.0,0.643,0.283,0235+164
54056.905,22000.0,0.732,0.409,0235+164
54056.914,22000.0,1.062,0.481,0235+164
54056.923,22000.0,0.765,0.653,0235+164
54080.922,22000.0,0.736,0.324,0235+164
54080.931,22000.0,0.898,0.334,0235+164
54080.94,22000.0,1.108,0.347,0235+164
54119.705,22000.0,1.225,0.494,0235+164
54119.715,22000.0,1.525,0.449,0235+164
54119.724,22000.0,1.065,0.356,0235+164
54119.733,22000.0,1.053,0.397,0235+164
54147.635,22000.0,2.071,0.264,0235+164
54147.653,22000.0,1.945,0.328,0235+164
54183.549,22000.0,3.695,0.432,0235+164
54183.558,22000.0,3.699,0.429,0235+164
54183.568,22000.0,3.803,0.454,0235+164
54183.577,22000.0,3.986,0.474,0235+164
54197.362,22000.0,4.045,0.414,0235+164
54197.371,22000.0,4.127,0.354,0235+164
54218.397,22000.0,5.503,0.417,0235+164
54218.406,22000.0,5.331,0.424,0235+164
54218.415,22000.0,5.43,0.379,0235+164
54274.183,22000.0,3.153,0.594,0235+164
54274.2,22000.0,2.861,0.457,0235+164
54288.254,22000.0,2.124,0.324,0235+164
54288.263,22000.0,2.804,0.296,0235+164
54294.338,22000.0,2.406,0.326,0235+164
54294.347,22000.0,2.226,0.362,0235+164
54294.357,22000.0,2.393,0.355,0235+164
54323.187,22000.0,2.275,1.019,0235+164
54345.153,22000.0,1.964,0.359,0235+164
54345.171,22000.0,1.699,0.354,0235+164
54345.18,22000.0,1.705,0.43,0235+164
