Source,Freq,MJD_1,MJD_2,MJD_diff,Flux_1,Flux_2,Flux_diff
0235+164,5000.0,53543.455,53588.076,44.620999999999185,1.129,1.16,0.030999999999999917
0235+164,5000.0,53543.455,53588.081,44.625999999996566,1.129,1.249,0.1200000000000001
0235+164,5000.0,53543.455,53588.09,44.63499999999476,1.129,1.212,0.08299999999999996
0235+164,5000.0,53543.455,53588.098,44.64299999999639,1.129,1.117,-0.01200000000000001
0235+164,5000.0,53543.463,53576.384,32.92099999999482,1.078,1.28,0.20199999999999996
0235+164,5000.0,53543.463,53576.392,32.92899999999645,1.078,1.268,0.18999999999999995
0235+164,5000.0,53543.463,53577.225,33.76199999999517,1.078,1.167,0.08899999999999997
0235+164,5000.0,53543.463,53577.234,33.770999999993364,1.078,1.254,0.17599999999999993
0235+164,5000.0,53543.463,53588.076,44.612999999997555,1.078,1.16,0.08199999999999985
0235+164,5000.0,53543.463,53588.081,44.617999999994936,1.078,1.249,0.17100000000000004
0235+164,5000.0,53543.463,53588.09,44.62699999999313,1.078,1.212,0.1339999999999999
0235+164,5000.0,53543.463,53588.098,44.63499999999476,1.078,1.117,0.038999999999999924
0235+164,5000.0,53544.244,53576.384,32.13999999999942,1.149,1.28,0.131
0235+164,5000.0,53544.244,53576.392,32.14800000000105,1.149,1.268,0.119
0235+164,5000.0,53544.244,53577.225,32.98099999999977,1.149,1.167,0.018000000000000016
0235+164,5000.0,53544.244,53577.234,32.98999999999796,1.149,1.254,0.10499999999999998
0235+164,5000.0,53544.244,53588.076,43.832000000002154,1.149,1.16,0.010999999999999899
0235+164,5000.0,53544.244,53588.081,43.836999999999534,1.149,1.249,0.10000000000000009
0235+164,5000.0,53544.244,53588.09,43.84599999999773,1.149,1.212,0.06299999999999994
0235+164,5000.0,53544.244,53588.098,43.85399999999936,1.149,1.117,-0.03200000000000003
0235+164,5000.0,53544.252,53576.384,32.13199999999779,1.14,1.28,0.14000000000000012
0235+164,5000.0,53544.252,53576.392,32.13999999999942,1.14,1.268,0.1280000000000001
0235+164,5000.0,53544.252,53577.225,32.97299999999814,1.14,1.167,0.027000000000000135
0235+164,5000.0,53544.252,53577.234,32.98199999999633,1.14,1.254,0.1140000000000001
0235+164,5000.0,53544.252,53588.076,43.824000000000524,1.14,1.16,0.020000000000000018
0235+164,5000.0,53544.252,53588.081,43.828999999997905,1.14,1.249,0.10900000000000021
0235+164,5000.0,53544.252,53588.09,43.8379999999961,1.14,1.212,0.07200000000000006
0235+164,5000.0,53544.252,53588.098,43.84599999999773,1.14,1.117,-0.02299999999999991
0235+164,5000.0,53576.384,53605.95,29.565999999998894,1.28,1.377,0.09699999999999998
0235+164,5000.0,53576.384,53605.958,29.574000000000524,1.28,1.351,0.07099999999999995
0235+164,5000.0,53576.392,53605.95,29.557999999997264,1.268,1.377,0.10899999999999999
0235+164,5000.0,53576.392,53605.958,29.565999999998894,1.268,1.351,0.08299999999999996
0235+164,5000.0,53577.225,53605.95,28.724999999998545,1.167,1.377,0.20999999999999996
0235+164,5000.0,53577.225,53605.958,28.733000000000175,1.167,1.351,0.18399999999999994
0235+164,5000.0,53577.234,53605.95,28.71600000000035,1.254,1.377,0.123
0235+164,5000.0,53577.234,53605.958,28.72400000000198,1.254,1.351,0.09699999999999998
0235+164,5000.0,53588.076,53605.95,17.87399999999616,1.16,1.377,0.21700000000000008
0235+164,5000.0,53588.076,53605.958,17.881999999997788,1.16,1.351,0.19100000000000006
0235+164,5000.0,53588.081,53605.95,17.868999999998778,1.249,1.377,0.1279999999999999
0235+164,5000.0,53588.081,53605.958,17.877000000000407,1.249,1.351,0.10199999999999987
0235+164,5000.0,53588.09,53605.95,17.860000000000582,1.212,1.377,0.16500000000000004
0235+164,5000.0,53588.09,53605.958,17.868000000002212,1.212,1.351,0.139
0235+164,5000.0,53588.098,53605.95,17.851999999998952,1.117,1.377,0.26
0235+164,5000.0,53588.098,53605.958,17.860000000000582,1.117,1.351,0.23399999999999999
0235+164,5000.0,53605.95,53638.854,32.90400000000227,1.377,1.289,-0.08800000000000008
0235+164,5000.0,53605.95,53638.862,32.9120000000039,1.377,1.331,-0.04600000000000004
0235+164,5000.0,53605.95,53639.029,33.07900000000518,1.377,1.317,-0.06000000000000005
0235+164,5000.0,53605.95,53639.037,33.086999999999534,1.377,1.346,-0.030999999999999917
0235+164,5000.0,53605.95,53639.208,33.25800000000163,1.377,1.344,-0.03299999999999992
0235+164,5000.0,53605.95,53639.216,33.26600000000326,1.377,1.373,-0.0040000000000000036
0235+164,5000.0,53605.95,53639.946,33.99600000000646,1.377,1.409,0.03200000000000003
0235+164,5000.0,53605.95,53639.955,34.00500000000466,1.377,1.266,-0.11099999999999999
0235+164,5000.0,53605.95,53640.138,34.18800000000192,1.377,1.349,-0.028000000000000025
0235+164,5000.0,53605.95,53640.147,34.197000000000116,1.377,1.451,0.07400000000000007
0235+164,5000.0,53605.958,53638.854,32.89600000000064,1.351,1.289,-0.062000000000000055
0235+164,5000.0,53605.958,53638.862,32.90400000000227,1.351,1.331,-0.020000000000000018
0235+164,5000.0,53605.958,53639.029,33.07100000000355,1.351,1.317,-0.03400000000000003
0235+164,5000.0,53605.958,53639.037,33.078999999997905,1.351,1.346,-0.004999999999999893
0235+164,5000.0,53605.958,53639.208,33.25,1.351,1.344,-0.006999999999999895
0235+164,5000.0,53605.958,53639.216,33.25800000000163,1.351,1.373,0.02200000000000002
0235+164,5000.0,53605.958,53639.946,33.98800000000483,1.351,1.409,0.05800000000000005
0235+164,5000.0,53605.958,53639.955,33.99700000000303,1.351,1.266,-0.08499999999999996
0235+164,5000.0,53605.958,53640.138,34.18000000000029,1.351,1.349,-0.0020000000000000018
0235+164,5000.0,53605.958,53640.147,34.18899999999849,1.351,1.451,0.10000000000000009
0235+164,5000.0,53723.835,53763.849,40.01400000000285,1.845,2.029,0.18399999999999994
0235+164,5000.0,53723.835,53763.857,40.02200000000448,1.845,2.006,0.1609999999999998
0235+164,5000.0,53723.844,53763.849,40.00500000000466,1.836,2.029,0.19299999999999984
0235+164,5000.0,53723.844,53763.857,40.013000000006286,1.836,2.006,0.1699999999999997
0235+164,5000.0,53975.144,54012.022,36.87799999999697,1.586,1.085,-0.5010000000000001
0235+164,5000.0,53975.144,54012.032,36.88799999999901,1.586,1.121,-0.4650000000000001
0235+164,5000.0,53975.153,54012.022,36.86899999999878,1.519,1.085,-0.43399999999999994
0235+164,5000.0,53975.153,54012.032,36.879000000000815,1.519,1.121,-0.3979999999999999
0235+164,5000.0,54276.231,54297.257,21.02599999999802,2.397,2.361,-0.03599999999999959
0235+164,5000.0,54276.231,54297.266,21.035000000003492,2.397,2.459,0.06200000000000028
0235+164,5000.0,54348.095,54374.039,25.943999999995867,1.749,1.493,-0.256
0235+164,5000.0,54348.095,54374.048,25.95300000000134,1.749,1.48,-0.26900000000000013
0235+164,5000.0,54348.105,54374.039,25.93399999999383,1.691,1.493,-0.19799999999999995
0235+164,5000.0,54348.105,54374.048,25.9429999999993,1.691,1.48,-0.21100000000000008
0235+164,5000.0,54348.114,54374.039,25.924999999995634,1.782,1.493,-0.2889999999999999
0235+164,5000.0,54348.114,54374.048,25.934000000001106,1.782,1.48,-0.30200000000000005
0235+164,5000.0,54348.123,54374.039,25.91599999999744,1.813,1.493,-0.31999999999999984
0235+164,5000.0,54348.123,54374.048,25.92500000000291,1.813,1.48,-0.33299999999999996
0235+164,5000.0,54374.039,54396.979,22.94000000000233,1.493,1.388,-0.1050000000000002
0235+164,5000.0,54374.039,54396.989,22.950000000004366,1.493,1.394,-0.0990000000000002
0235+164,5000.0,54374.048,54396.979,22.930999999996857,1.48,1.388,-0.09200000000000008
0235+164,5000.0,54374.048,54396.989,22.940999999998894,1.48,1.394,-0.08600000000000008
0235+164,5000.0,55002.395,55034.246,31.851000000002387,1.92,1.758,-0.16199999999999992
0235+164,5000.0,55002.395,55034.255,31.860000000000582,1.92,1.773,-0.14700000000000002
0235+164,5000.0,55002.395,55034.265,31.87000000000262,1.92,1.65,-0.27
0235+164,5000.0,55002.404,55034.246,31.841999999996915,2.149,1.758,-0.391
0235+164,5000.0,55002.404,55034.255,31.85099999999511,2.149,1.773,-0.3760000000000001
0235+164,5000.0,55002.404,55034.265,31.860999999997148,2.149,1.65,-0.4990000000000001
0235+164,5000.0,55002.414,55034.246,31.832000000002154,1.888,1.758,-0.1299999999999999
0235+164,5000.0,55002.414,55034.255,31.84100000000035,1.888,1.773,-0.11499999999999999
0235+164,5000.0,55002.414,55034.265,31.851000000002387,1.888,1.65,-0.238
